,lastStopSeq,vehicle_location_longitude,vehicle_location_latitude,datetime
523191,1,-122.990985,45.521873,2017-01-22 00:08:01
523205,2,-122.982623,45.521317,2017-01-22 00:09:34
523216,3,-122.976168,45.521253,2017-01-22 00:10:53
523238,4,-122.965352,45.521044,2017-01-22 00:13:24
523255,5,-122.943002,45.527645,2017-01-22 00:14:59
523265,6,-122.928781,45.530197,2017-01-22 00:16:40
523288,7,-122.912803,45.530211,2017-01-22 00:19:34
523299,8,-122.884146,45.521719,2017-01-22 00:21:28
523329,9,-122.867683,45.516377,2017-01-22 00:23:48
523348,10,-122.850968,45.509695,2017-01-22 00:26:04
523363,11,-122.83913,45.503524,2017-01-22 00:27:33
523371,12,-122.831143,45.499387,2017-01-22 00:29:02
523394,13,-122.81588899999998,45.492985,2017-01-22 00:31:45
523406,14,-122.805108,45.4908,2017-01-22 00:33:14
523424,15,-122.798957,45.49224,2017-01-22 00:36:08
523466,16,-122.78034,45.509986,2017-01-22 00:40:49
523496,17,-122.713943,45.510831,2017-01-22 00:45:44
523530,18,-122.692508,45.518362,2017-01-22 00:49:35
523544,19,-122.690699,45.52109,2017-01-22 00:51:27
523564,20,-122.687746,45.520774,2017-01-22 00:53:49
523590,21,-122.681098,45.518994,2017-01-22 00:55:52
523618,23,-122.67539,45.517457,2017-01-22 00:59:14
523632,24,-122.67349,45.517828,2017-01-22 01:00:14
523654,26,-122.671347,45.524104,2017-01-22 01:04:17
523673,27,-122.671407,45.525672,2017-01-22 01:05:17
523721,28,-122.664365,45.530084,2017-01-22 01:09:11
523728,29,-122.660935,45.530076,2017-01-22 01:09:58
523751,30,-122.656475,45.530063,2017-01-22 01:11:37
523772,31,-122.648117,45.530027,2017-01-22 01:13:15
523815,32,-122.620224,45.532643,2017-01-22 01:17:12
523854,33,-122.602085,45.52909,2017-01-22 01:19:39
523886,34,-122.576662,45.532822,2017-01-22 01:22:24
523927,35,-122.563827,45.528758,2017-01-22 01:26:34
523952,36,-122.550861,45.522575,2017-01-22 01:28:46
523998,37,-122.514654,45.522313,2017-01-22 01:33:59
524004,38,-122.508385,45.522261,2017-01-22 01:34:39
524027,39,-122.49256499999998,45.522129,2017-01-22 01:36:42
524052,40,-122.482462,45.522041,2017-01-22 01:38:29
524076,41,-122.475208,45.521843,2017-01-22 01:40:07
524116,42,-122.462377,45.516965,2017-01-22 01:43:19
524126,43,-122.457963,45.515095,2017-01-22 01:44:11
524169,44,-122.440313,45.507586,2017-01-22 01:46:40
524181,45,-122.434269,45.505049,2017-01-22 01:48:00
524214,46,-122.423653,45.502111,2017-01-22 01:50:02
524468,1,-122.418948,45.5019,2017-01-22 02:10:19
524505,2,-122.42768,45.502752,2017-01-22 02:13:00
524562,4,-122.446752,45.510343,2017-01-22 02:16:22
524585,5,-122.462215,45.516942,2017-01-22 02:18:25
524629,6,-122.476283,45.522009,2017-01-22 02:21:19
524640,7,-122.481172,45.522069,2017-01-22 02:21:59
524667,8,-122.489372,45.522141,2017-01-22 02:23:37
524705,9,-122.498855,45.522216,2017-01-22 02:25:27
524770,10,-122.53386,45.522497,2017-01-22 02:29:52
524774,11,-122.541249,45.522547,2017-01-22 02:30:26
524822,12,-122.559558,45.522672,2017-01-22 02:33:01
524892,13,-122.564955,45.53199,2017-01-22 02:36:58
524929,14,-122.581206,45.534514,2017-01-22 02:39:24
524961,15,-122.609747,45.527785,2017-01-22 02:41:16
524998,16,-122.624064,45.533579,2017-01-22 02:43:22
525068,17,-122.655078,45.530092,2017-01-22 02:47:00
525093,18,-122.659035,45.530106,2017-01-22 02:48:06
525128,19,-122.663045,45.53011,2017-01-22 02:50:08
525134,20,-122.666411,45.529893,2017-01-22 02:50:42
525199,21,-122.67141399999998,45.523966,2017-01-22 02:54:00
525222,22,-122.671348,45.522767,2017-01-22 02:55:18
525359,27,-122.68302,45.520236,2017-01-22 03:03:12
525406,28,-122.690717,45.521179,2017-01-22 03:05:23
525425,29,-122.692165,45.519093,2017-01-22 03:06:33
525461,30,-122.696751,45.51895,2017-01-22 03:08:35
525527,31,-122.72673600000002,45.51042,2017-01-22 03:12:34
525627,32,-122.783029,45.510149,2017-01-22 03:17:30
525708,33,-122.803141,45.490859,2017-01-22 03:22:59
525752,34,-122.814712,45.49255,2017-01-22 03:25:42
525776,35,-122.8245,45.49647,2017-01-22 03:26:56
525817,36,-122.836712,45.502307,2017-01-22 03:29:45
525827,37,-122.843742,45.50607,2017-01-22 03:30:26
525856,38,-122.853152,45.51082,2017-01-22 03:32:12
525918,39,-122.877323,45.51959,2017-01-22 03:35:50
525971,40,-122.893992,45.524878,2017-01-22 03:38:18
526006,41,-122.916822,45.53032,2017-01-22 03:40:14
526042,42,-122.937277,45.528736,2017-01-22 03:42:27
526078,43,-122.949355,45.526383,2017-01-22 03:44:33
526126,44,-122.971268,45.521285,2017-01-22 03:47:29
526166,45,-122.980343,45.521326,2017-01-22 03:49:13
526208,46,-122.986771,45.52139,2017-01-22 03:51:19
526731,1,-122.990977,45.522202,2017-01-22 04:18:53
526772,2,-122.982623,45.521317,2017-01-22 04:20:55
526799,3,-122.976168,45.521253,2017-01-22 04:22:18
526857,4,-122.965352,45.521044,2017-01-22 04:25:11
526884,5,-122.943002,45.527645,2017-01-22 04:27:10
526931,6,-122.928781,45.530197,2017-01-22 04:29:09
526988,7,-122.912803,45.530211,2017-01-22 04:32:21
527037,8,-122.884146,45.521719,2017-01-22 04:34:21
527073,9,-122.867683,45.516377,2017-01-22 04:36:29
527122,10,-122.850968,45.509695,2017-01-22 04:38:51
527166,11,-122.83913,45.503524,2017-01-22 04:40:33
527199,12,-122.831143,45.499387,2017-01-22 04:42:08
527263,13,-122.81588899999998,45.492985,2017-01-22 04:45:11
527289,14,-122.805108,45.4908,2017-01-22 04:46:41
527330,15,-122.798957,45.49224,2017-01-22 04:48:24
527425,16,-122.78034,45.509986,2017-01-22 04:53:30
527540,17,-122.713943,45.510831,2017-01-22 04:58:45
527632,18,-122.693327,45.517957,2017-01-22 05:02:58
527669,19,-122.690699,45.52109,2017-01-22 05:04:30
527724,20,-122.687746,45.520774,2017-01-22 05:06:49
527770,21,-122.681098,45.518994,2017-01-22 05:08:23
527857,23,-122.67539,45.517457,2017-01-22 05:12:16
527871,24,-122.67349,45.517828,2017-01-22 05:12:41
527941,26,-122.671347,45.524104,2017-01-22 05:16:29
527967,27,-122.671407,45.525672,2017-01-22 05:17:04
528038,28,-122.664365,45.530084,2017-01-22 05:20:48
528060,29,-122.660935,45.530076,2017-01-22 05:21:30
528080,30,-122.656475,45.530063,2017-01-22 05:22:46
528133,31,-122.648117,45.530027,2017-01-22 05:24:44
528210,32,-122.620224,45.532643,2017-01-22 05:28:16
528251,33,-122.602085,45.52909,2017-01-22 05:30:30
528306,34,-122.576662,45.532822,2017-01-22 05:33:22
528393,35,-122.563585,45.529461,2017-01-22 05:37:29
528437,36,-122.550861,45.522575,2017-01-22 05:39:38
528555,37,-122.514654,45.522313,2017-01-22 05:44:51
528571,38,-122.508385,45.522261,2017-01-22 05:45:22
